1,S,145,380
2,B,121,380
3,S,170,100
4,S,123,40
5,B,192,70
6,B,178,170
7,S,173,370
8,S,182,40
9,B,182,10
10,S,117,240
11,S,158,450
12,S,142,110
13,B,160,30
14,B,171,250
15,B,182,480
16,S,182,190
17,B,191,140
18,B,156,90
19,B,133,460
20,S,107,360
21,B,198,400
22,B,197,420
23,B,105,20
24,B,186,340
25,B,125,30
26,S,118,360
27,B,129,230
28,S,101,90
29,S,148,370
30,B,154,230
31,B,174,490
32,B,153,300
33,B,135,490
34,S,165,340
35,S,191,50
36,S,141,270
37,S,130,160
38,S,147,370
39,S,128,30
40,B,120,160
41,B,125,130
42,S,168,180
43,S,115,350
44,S,194,330
45,S,200,300
46,S,141,490
47,S,104,200
48,S,134,430
49,B,149,480
50,S,112,150
51,S,151,280
52,S,110,150
53,S,195,110
54,B,190,220
55,B,114,460
56,S,129,220
57,B,162,310
58,B,110,240
59,S,108,220
60,S,162,20
61,S,196,40
62,B,113,420
63,B,192,60
64,B,136,200
65,S,188,470
66,B,141,170
67,B,174,260
68,S,104,430
69,S,192,80
70,S,159,360
71,S,106,190
72,S,184,430
73,B,137,370
74,S,186,30
75,S,120,200
76,S,106,440
77,S,138,400
78,S,134,470
79,S,199,400
80,S,177,410
81,S,185,480
82,B,179,30
83,B,161,230
84,B,164,180
85,S,106,410
86,S,122,270
87,S,135,30
88,B,109,210
89,B,140,390
90,S,142,350
91,B,162,470
92,S,145,210
93,B,172,330
94,B,162,390
95,B,200,120
96,B,168,330
97,B,122,60
98,S,110,70
99,B,158,110
100,S,184,160
101,B,159,390
102,S,142,30
103,B,183,450
104,B,139,280
105,S,120,200
106,S,157,100
107,B,155,160
108,B,157,380
109,S,145,10
110,B,134,220
111,B,168,270
112,B,147,470
113,S,196,390
114,S,104,390
115,S,177,10
116,B,126,230
117,B,105,240
118,B,179,450
119,B,124,280
120,B,187,470
121,B,183,410
122,B,128,460
123,S,143,50
124,S,182,480
125,B,135,390
126,B,152,90
127,S,143,450
128,B,200,380
129,S,179,300
130,S,162,430
131,B,192,340
132,B,117,70
133,B,168,30
134,B,180,290
135,B,170,230
136,B,134,230
137,S,184,140
138,B,159,360
139,S,144,210
140,S,150,40
141,S,155,440
142,B,188,470
143,S,102,490
144,B,127,160
145,S,169,440
146,S,107,320
147,S,187,390
148,S,156,210
149,B,113,270
150,S,194,170
151,S,115,190
152,B,102,490
153,S,192,110
154,S,194,220
155,S,157,70
156,B,136,320
157,S,190,420
158,B,112,500
159,B,147,470
160,S,129,390
161,S,124,420
162,B,140,90
163,S,167,470
164,S,120,110
165,S,171,180
166,S,186,250
167,B,104,310
168,S,163,420
169,S,165,370
170,B,158,410
171,B,162,310
172,S,187,370
173,S,186,120
174,S,170,240
175,S,161,440
176,B,187,120
177,S,185,220
178,B,134,420
179,B,156,40
180,B,154,220
181,S,127,190
182,B,158,310
183,B,120,240
184,S,191,350
185,S,115,230
186,B,138,70
187,B,152,190
188,S,146,300
189,B,200,150
190,S,196,40
191,S,111,100
192,S,140,410
193,S,198,420
194,B,198,440
195,S,188,280
196,S,175,150
197,B,180,80
198,B,144,250
199,B,133,200
200,S,195,260
201,B,112,180
202,S,140,130
203,B,130,100
204,S,115,90
205,B,193,230
206,B,167,130
207,S,154,380
208,S,180,390
209,B,157,10
210,B,165,100
211,B,161,100
212,S,181,430
213,B,133,170
214,B,152,420
215,S,131,60
216,S,147,150
217,B,132,310
218,S,131,420
219,B,147,450
220,S,151,180
221,S,153,30
222,B,194,180
223,B,167,460
224,B,100,20
225,B,191,40
226,B,163,430
227,B,173,70
228,S,115,180
229,B,160,230
230,B,105,80
231,S,148,440
232,S,144,130
233,B,196,360
234,B,184,250
235,S,154,50
236,B,121,490
237,B,195,430
238,S,176,300
239,B,189,500
240,B,195,470
241,B,106,20
242,B,149,60
243,S,178,240
244,B,144,30
245,S,180,250
246,S,188,40
247,S,195,230
248,B,197,40
249,S,157,370
250,S,176,470
251,S,132,450
252,S,147,290
253,S,181,130
254,B,133,240
255,S,116,10
256,S,137,490
257,B,171,440
258,B,133,470
259,S,170,380
260,B,165,470
261,S,158,90
262,B,185,210
263,B,151,360
264,B,145,480
265,S,122,70
266,S,168,390
267,B,102,420
268,S,181,60
269,S,114,440
270,B,183,480
271,B,199,260
272,S,154,100
273,B,124,250
274,B,185,160
275,S,113,180
276,B,180,290
277,S,162,390
278,S,108,500
279,B,179,430
280,S,147,220
281,B,109,140
282,S,146,80
283,B,180,430
284,B,111,500
285,S,140,190
286,S,195,480
287,B,191,160
288,S,155,10
289,B,121,110
290,S,146,90
291,S,187,170
292,B,163,200
293,S,140,120
294,B,141,210
295,B,192,490
296,B,141,300
297,S,111,480
298,B,169,90
299,B,103,460
300,S,158,440
301,S,128,360
302,S,118,330
303,S,191,470
304,S,182,10
305,B,102,440
306,S,159,450
307,S,180,500
308,S,171,250
309,B,148,100
310,B,165,400
311,S,181,200
312,S,182,80
313,B,129,450
314,S,153,380
315,S,111,50
316,B,171,180
317,S,199,160
318,B,112,30
319,B,133,100
320,B,108,350
321,B,122,390
322,B,195,100
323,S,187,450
324,S,167,10
325,B,117,140
326,S,129,360
327,S,174,220
328,B,187,490
329,S,180,270
330,S,130,370
331,S,115,360
332,S,181,320
333,B,185,100
334,B,162,360
335,S,128,60
336,B,172,250
337,S,129,470
338,B,119,470
339,S,151,350
340,B,134,130
341,S,167,20
342,S,133,470
343,S,149,390
344,B,100,480
345,S,145,410
346,S,200,290
347,S,154,60
348,B,141,30
349,S,100,210
350,B,198,430
351,S,132,220
352,B,120,260
353,S,159,190
354,B,160,320
355,S,158,190
356,B,187,350
357,S,148,210
358,B,153,220
359,B,120,280
360,S,170,440
361,S,121,70
362,S,189,30
363,B,105,390
364,S,195,470
365,S,189,80
366,B,198,120
367,S,167,260
368,S,110,460
369,B,196,320
370,S,132,350
371,B,186,10
372,B,154,30
373,B,163,320
374,S,134,230
375,S,109,140
376,S,109,480
377,B,179,100
378,S,159,370
379,S,151,150
380,B,132,440
381,S,144,100
382,B,150,10
383,B,111,100
384,B,149,480
385,B,191,230
386,B,100,400
387,S,178,300
388,B,127,400
389,S,120,390
390,B,160,100
391,B,191,240
392,S,152,480
393,B,168,340
394,S,101,490
395,S,167,270
396,B,114,60
397,B,122,30
398,S,171,180
399,B,171,120
400,S,160,340
401,B,121,130
402,B,189,310
403,B,200,210
404,B,166,270
405,B,178,360
406,B,103,410
407,B,145,230
408,S,139,210
409,B,134,260
410,B,134,320
411,S,126,170
412,S,135,310
413,S,186,290
414,S,129,90
415,B,140,370
416,B,134,430
417,S,152,250
418,S,151,260
419,S,182,180
420,S,170,30
421,S,169,70
422,S,180,160
423,B,139,10
424,B,161,430
425,S,168,150
426,B,147,80
427,S,121,490
428,B,147,50
429,S,176,90
430,B,173,210
431,B,198,70
432,B,148,400
433,B,148,260
434,S,111,40
435,S,160,300
436,B,115,370
437,S,150,160
438,B,195,40
439,B,129,460
440,S,161,210
441,S,149,370
442,B,131,50
443,S,169,490
444,S,181,440
445,B,170,150
446,S,193,320
447,S,142,130
448,S,186,420
449,B,168,460
450,B,188,300
451,S,176,50
452,S,193,200
